radio, mcc, net, area, cell, unit, lon, lat, range, samples, changeable, created, updated, averageSignal
GSM,238,1,1111,4536,0,12.5296,55.6828,2252,88,1,1340117288,1693585562,0
GSM,238,1,1111,606,0,12.524,55.6783,1851,103,1,1323761565,1693585562,0
GSM,238,1,1111,7933,-1,12.5271,55.6824,1000,6,1,1505533782,1693585598,0
GSM,238,1,1121,14793,-1,12.5579,55.7835,1000,3,1,1697525540,1697563864,0
GSM,238,1,1121,2384,0,12.5289,55.6867,855,199,1,1343027294,1693585562,0
GSM,238,1,1121,2385,0,12.5158,55.6859,730,199,1,1346746294,1693585562,0
GSM,238,1,1121,2960,0,12.4979,55.6909,1884,200,1,1327306494,1693654995,0
GSM,238,1,1121,7254,0,12.5067,55.6867,1228,98,1,1423710967,1693654995,0
GSM,238,1,12001,63964,-1,9.3174,57.1504,1000,7,1,1726851405,1726871821,0
GSM,238,1,12004,18780,-1,9.6614,57.326,1000,1,1,1726827078,1726827078,0
GSM,238,1,12004,28211,-1,8.7292,56.8878,1000,20,1,1725707675,1725736563,0
GSM,238,1,12004,36112,-1,8.7864,56.8938,1000,1,1,1694253197,1694253197,0
GSM,238,1,12004,38263,-1,8.7295,56.8881,1000,4,1,1694252726,1694252786,0
GSM,238,1,12004,39451,-1,9.2952,57.1442,1000,6,1,1726853404,1726873382,0
GSM,238,1,12004,64456,-1,8.9872,57.1277,1000,3,1,1726881671,1726901583,0
GSM,238,1,12041,29392,-1,9.7156,55.0316,1000,2,1,1696675843,1696695794,0
GSM,238,1,131,5116,0,11.3779,55.8332,27915,73,1,1339632748,1703411229,0
GSM,238,1,131,584,0,11.3988,55.7872,11710,200,1,1314358013,1703411229,0
GSM,238,1,141,1511,0,12.2076,55.2806,17567,199,1,1421735623,1693909788,0
GSM,238,1,141,1864,0,12.3837,55.2903,11767,102,1,1422337448,1693900425,0
GSM,238,1,141,1865,0,12.2493,55.2135,21561,103,1,1421735623,1693979366,0
GSM,238,1,141,2184,0,12.1436,55.4835,6352,32,1,1421732289,1731054004,0
GSM,238,1,141,3495,0,12.2369,55.2665,23113,102,1,1421735623,1693975791,0
